game_id,team,margin,players
0022200445,BOS,-3.0,201143;201933;203935;203943;1627759;1627763;1628382;1628401;1628436;1629057;1629684;1630202;1630573
0022200430,BOS,-8.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629057;1629684;1630202;1630573;1631120
0022200413,BOS,4.0,201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200408,BOS,-20.0,201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200392,BOS,-16.0,201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200373,BOS,27.0,201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200355,BOS,6.0,201933;203935;203943;1627759;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200346,BOS,11.0,201143;201933;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200328,BOS,-4.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200314,BOS,13.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200301,BOS,35.0,201933;203935;203943;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200294,BOS,9.0,201143;201933;203935;203943;1627759;1627763;1628382;1628401;1628436;1629684;1630202;1630573
0022200275,BOS,18.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573;1631120
0022200264,BOS,13.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200250,BOS,-14.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200231,BOS,8.0,201143;201933;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200214,BOS,25.0,201143;201933;203943;1627759;1628369;1628382;1628401;1628436;1629684;1630202;1630573;1631120
0022200201,BOS,4.0,201143;201933;203935;203943;1627759;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200186,BOS,9.0,201933;203935;203943;1627759;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200176,BOS,19.0,201143;201933;203935;203943;1627759;1628369;1628382;1628401;1628436;1629684;1630202;1630573;1631120
0022200163,BOS,16.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573
0022200152,BOS,3.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1629662;1629684;1630202;1630573
0022200135,BOS,15.0,201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200124,BOS,4.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200107,BOS,-1.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200089,BOS,18.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200072,BOS,-9.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200047,BOS,-18.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629684;1630202;1630573
0022200030,BOS,6.0,201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573;1631120
0022200022,BOS,7.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573;1631120
0022200001,BOS,9.0,201143;201933;203935;203943;1627759;1627763;1628369;1628382;1628401;1628436;1629662;1629684;1630202;1630573;1631120
